CTYUA21CD,CTYUA21NM,HPT,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length,GlobalID
E06000001,Hartlepool,North East,447160,531474,-1.27018,54.6761,1,96029731.03,51065.31351,e2ade4b3-57ad-40b3-9abd-510a3fad62fe
E06000002,Middlesbrough,North East,451141,516887,-1.21099,54.5447,2,55231203.5,35500.34733,fb585070-81ef-43e3-b191-6d185ba60a96
E06000003,Redcar and Cleveland,North East,464361,519597,-1.00608,54.5675,3,248342841,78449.42894,4c8f257a-4b5a-4d03-b29d-5fdbdbabb816
E06000004,Stockton-on-Tees,North East,444940,518183,-1.30664,54.5569,4,205231497,87566.56294,82dbad8f-46bf-4204-bd1f-45eab08a67b7
E06000005,Darlington,North East,428029,515648,-1.56835,54.5353,5,198812770.8,91926.83954,cef6bbfd-ba19-4150-8a7d-4e24b8a5430a
E06000006,Halton,Cheshire and Merseyside,354246,382146,-2.68853,53.3342,6,82892522.35,59055.41734,a321910d-bfac-4ea6-a4f3-20f0fe241bef
E06000007,Warrington,Cheshire and Merseyside,362744,388456,-2.56167,53.3916,7,178742993,71969.48671,0b4c57fa-473c-45fa-9905-00a772afc2fa
E06000008,Blackburn with Darwen,Cumbria and Lancashire,369490,422806,-2.4636,53.7008,8,139386372.8,55099.15066,d0f80da6-6748-4e7d-aae4-0436250b82fe
E06000009,Blackpool,Cumbria and Lancashire,332819,436635,-3.02199,53.8216,9,33544256.68,29836.70313,2e4c5915-a379-464e-943b-beab4f9f1954
E06000010,"Kingston upon Hull, City of",Yorkshire and Humber,511894,431650,-0.30382,53.7692,10,70877325.54,41041.0259,2bfd9355-e681-44e9-a8cb-71f92f82f9b8
E06000011,East Riding of Yorkshire,Yorkshire and Humber,488056,443597,-0.66195,53.8811,11,2412608696,340845.9264,939f6ec2-7f7c-441e-87f4-d36e25c2c58d
E06000012,North East Lincolnshire,Yorkshire and Humber,523465,404564,-0.13911,53.5233,12,187657861,75953.94648,cebe14e0-733e-4bfa-be47-8add993db125
E06000013,North Lincolnshire,Yorkshire and Humber,497800,410993,-0.52407,53.5864,13,846504824.2,177073.4142,32ddf899-b119-42f7-89e8-6b3b57d2ef95
E06000014,York,Yorkshire and Humber,460864,452589,-1.07375,53.9658,14,275337173.7,84247.07933,0e9c2865-cc00-4135-ae3d-1cf250585ac9
E06000015,Derby,East Midlands,435609,335375,-1.47189,52.9146,15,78270268.22,40201.83699,0b8778ea-3386-42b8-8349-eb37b80fbabe
E06000016,Leicester,East Midlands,458946,304594,-1.1304,52.6359,16,73589165.16,40830.23019,081412f5-296a-4533-bf7a-9237f38895aa
E06000017,Rutland,East Midlands,492992,308655,-0.6263,52.6676,17,391236502.7,96479.88759,5db137c7-5be2-404b-8596-c7a89e77c0b5
E06000018,Nottingham,East Midlands,456082,339969,-1.16667,52.9542,18,75870408.96,49574.89014,72a134e5-9cad-485f-bc9f-b4a07177c31f
E06000019,"Herefordshire, County of",West Midlands,349434,242834,-2.73931,52.0815,19,2180535922,285426.7256,c859d271-9b7a-4a8d-b1b1-b2b8cf8fd3e9
